epochs,test_name,train_loss,test_loss,train_metric,test_metric
66,test_1_cos/,0.3718521435076219,0.10202839253441269,0.20238116394906144,0.01520597206735819
67,test_1_cos/,0.3379212149350918,0.15231160300180527,0.16541296889730245,0.03548910135295688
68,test_1_cos/,0.3378733000987902,0.18695933278972462,0.17108989042100212,0.05289339459492096
69,test_1_cos/,0.36121649544764567,0.19416883076969357,0.20209688420844385,0.055250096539266394
70,test_1_cos/,0.45568156641201746,0.17230339222749003,0.2798191809209299,0.04061609551949122
71,test_1_cos/,0.5540251946275694,0.13184356879400108,0.3826304328369616,0.02401700153508922
72,test_1_cos/,0.5854637793165136,0.11336712041611219,0.43495671310907535,0.017081790473734523
73,test_1_cos/,0.6460971123484136,0.0766203902175136,0.5221949711423185,0.008117826390725006
74,test_1_cos/,0.7523206520472284,0.039361825177185034,0.718149218149708,0.002266228852731013
75,test_1_cos/,0.812002473373301,0.03865321821420072,0.8255833592661613,0.0022445648245684653
76,test_1_cos/,0.8615684660733487,0.06462572520139703,0.929599150259999,0.0060665645767530064
77,test_1_cos/,0.9188147941123408,0.13682067894705918,1.0408303008274964,0.028071173112201066
78,test_1_cos/,0.9236881476218425,0.1812929067052665,1.0953797321254533,0.052359804523470235
79,test_1_cos/,0.9436950382664316,0.11145951477803642,1.287743807525222,0.01607533602481695
80,test_1_cos/,1.202851356697273,0.09946146810210726,1.886262817222013,0.014369053265349882
81,test_1_cos/,1.2922774621610051,0.16460552324862213,2.2131372590980853,0.04028561745511867
82,test_1_cos/,1.2861113778042406,0.15719583777842422,2.300572060418281,0.03350800972904092
83,test_1_cos/,1.340936087976851,0.07876063227625399,2.710266964381515,0.009224924684259063
84,test_1_cos/,1.4200138387216998,0.13765522277534642,2.9812811895309115,0.027444340052481232
85,test_1_cos/,1.4700852188972768,0.10895694227579512,3.5269201943091866,0.01740242483939745
86,test_1_cos/,1.4324400711548129,0.14351761808343894,3.4764457253932464,0.028305321478277336
87,test_1_cos/,1.541089572310735,0.14573053568452984,3.8962510304173827,0.029473572494699334
88,test_1_cos/,1.5125002249284594,0.11865385160580046,3.6558877821746223,0.019736373967171487
89,test_1_cos/,1.4767128747438925,0.12085254906550083,3.5668915954619402,0.0242955849787549
90,test_1_cos/,1.2922059695496413,0.14238469164508266,3.7008312795526797,0.029295841635621434
91,test_1_cos/,1.3978966075986785,0.11984571834774552,3.385144759629702,0.022399338028381902
92,test_1_cos/,1.425185619832182,0.12121923261057395,3.3095832758143833,0.022087905251249623
93,test_1_cos/,1.5987914373889227,0.115409863144789,3.870037836291342,0.01957806113219638
94,test_1_cos/,1.40022319525558,0.10698272541975674,3.193859719520881,0.015718703343604985
95,test_1_cos/,1.3474911633154034,0.1342488311388079,3.100931506862358,0.027512825494889
96,test_1_cos/,1.345084715056997,0.16180771374693786,2.9356849319439204,0.03349922273968507
97,test_1_cos/,1.4032495910574136,0.13051518232357143,3.128313817391429,0.024451301220198646
98,test_1_cos/,1.3660382822468982,0.09964876684832452,2.9732796845703073,0.015159152576407377
99,test_1_cos/,1.332095288016946,0.09127043562206127,3.0654753873807175,0.012853363574648174
100,test_1_cos/,1.300414420191372,0.1546441872117134,3.0851917750601365,0.0317427742272727
101,test_1_cos/,0.01768915397165906,0.03814631070991199,0.0007183578911917138,0.0024762261280074313
1,test_1_cos/,0.01768915397165906,0.03814631070991199,0.0007183578911917138,0.0024762261280074313
2,test_1_cos/,0.003047211905304494,0.023482491556466728,3.522381898007752e-5,0.0012619048192673025
3,test_1_cos/,0.0024051237137244896,0.014516650142393563,2.6548868123698854e-5,0.00065078152442599
4,test_1_cos/,0.0023801134646606057,0.015117615647315282,2.100813563623312e-5,0.000754715154524936
5,test_1_cos/,0.0005792207893237985,0.0188115236966608,8.491182684450631e-7,0.0009605566859316951
6,test_1_cos/,0.000561255695026603,0.018851708720256863,8.207874073914e-7,0.0009836048701308833
7,test_1_cos/,0.0005608265565452684,0.01882460024228722,8.213555404274179e-7,0.00098120810275959
8,test_1_cos/,0.0005605923699676469,0.01880962138998808,8.227470577040805e-7,0.0009796903201827983
9,test_1_cos/,0.0005605189943712331,0.018797880482881592,8.244545567629954e-7,0.0009785096925185525
10,test_1_cos/,0.0005604669177908313,0.01880194647143914,8.237895625802061e-7,0.000978858891991741
11,test_1_cos/,0.000560445127599669,0.018800858594679046,8.239379994014317e-7,0.0009786399877232865
12,test_1_cos/,0.0005604396707478731,0.018800586543624632,8.239766486432077e-7,0.0009785852663434416
13,test_1_cos/,0.0005604396707478731,0.018800586543624632,8.239766486432077e-7,0.0009785852663434416
14,test_1_cos/,0.0005604396707478731,0.018800586543624632,8.239766486432077e-7,0.0009785852663434416
1,test_1_cos/,0.01768915397165906,0.03814631070991199,0.0007183578911917138,0.0024762261280074313
2,test_1_cos/,0.003047211905304494,0.023482491556466728,3.522381898007752e-5,0.0012619048192673025
3,test_1_cos/,0.0024051237137244896,0.014516650142393563,2.6548868123698854e-5,0.00065078152442599
4,test_1_cos/,0.0023801134646606057,0.015117615647315282,2.100813563623312e-5,0.000754715154524936
5,test_1_cos/,0.0005792207893237985,0.0188115236966608,8.491182684450631e-7,0.0009605566859316951
6,test_1_cos/,0.000561255695026603,0.018851708720256863,8.207874073914e-7,0.0009836048701308833
7,test_1_cos/,0.0005608265565452684,0.01882460024228722,8.213555404274179e-7,0.00098120810275959
8,test_1_cos/,0.0005605923699676469,0.01880962138998808,8.227470577040805e-7,0.0009796903201827983
9,test_1_cos/,0.0005605189943712331,0.018797880482881592,8.244545567629954e-7,0.0009785096925185525
10,test_1_cos/,0.0005604669177908313,0.01880194647143914,8.237895625802061e-7,0.000978858891991741
11,test_1_cos/,0.000560445127599669,0.018800858594679046,8.239379994014317e-7,0.0009786399877232865
12,test_1_cos/,0.0005604396707478731,0.018800586543624632,8.239766486432077e-7,0.0009785852663434416
13,test_1_cos/,0.0005604396707478731,0.018800586543624632,8.239766486432077e-7,0.0009785852663434416
14,test_1_cos/,0.0005604396707478731,0.018800586543624632,8.239766486432077e-7,0.0009785852663434416
1,test_1_cos/,0.017767634586805806,0.03814809012409821,0.0007391972012523707,0.0024750042339746823
2,test_1_cos/,0.003088347072903098,0.023711023878070885,3.904881084744904e-5,0.001313500833425175
3,test_1_cos/,0.0023706568663386133,0.015203710907579826,2.1400767748157677e-5,0.0007483929506315457
4,test_1_cos/,0.0023330763297572284,0.015956635697790413,1.6810146147402455e-5,0.0008550713853320656
5,test_1_cos/,0.0017157311774940514,0.02120298561533166,1.2616599677840358e-5,0.0013081723722803032
6,test_1_cos/,0.0013782783639814495,0.020866432980840722,6.176329813499724e-6,0.001100093813623469
7,test_1_cos/,0.0008641614532859836,0.01915890976177032,1.7317341354110028e-6,0.0009437688029482428
8,test_1_cos/,0.0007397008435084024,0.01889424270950014,1.4772179745362049e-6,0.0010005292852749174
