epochs,test_name,train_loss,test_loss,train_metric,test_metric,optimiser
64,test_1/,0.00025180584251283117,0.0035119054977274487,1.0072233700513246e-6,2.809524398181959e-6,ADAM_5e-5
65,test_1/,0.00028299596290149625,0.005707241692991469,1.131983851605985e-6,4.5657933543931755e-6,ADAM_5e-5
66,test_1/,0.00031357834054649515,0.007940626564910536,1.2543133621859807e-6,6.352501251928429e-6,ADAM_5e-5
67,test_1/,0.00033684720922807414,0.009643832076879317,1.3473888369122966e-6,7.715065661503454e-6,ADAM_5e-5
68,test_1/,0.00034882157684540014,0.010481331708660151,1.3952863073816006e-6,8.385065366928123e-6,ADAM_5e-5
69,test_1/,0.0003489619879282308,0.01040927093747488,1.3958479517129233e-6,8.327416749979907e-6,ADAM_5e-5
70,test_1/,0.00033951258583419364,0.009618468423945306,1.3580503433367745e-6,7.694774739156244e-6,ADAM_5e-5
71,test_1/,0.0003239705396551676,0.008404677575896306,1.2958821586206704e-6,6.723742060717044e-6,ADAM_5e-5
72,test_1/,0.000305545113716097,0.007037319207824229,1.222180454864388e-6,5.629855366259384e-6,ADAM_5e-5
73,test_1/,0.0002863199215894317,0.005686335936833863,1.1452796863577269e-6,4.549068749467091e-6,ADAM_5e-5
74,test_1/,0.00026731530376935343,0.004425271589705522,1.0692612150774138e-6,3.5402172717644177e-6,ADAM_5e-5
75,test_1/,0.00024913294785896905,0.003285444724960308,9.96531791435876e-7,2.6283557799682466e-6,ADAM_5e-5
76,test_1/,0.00023260073170090396,0.0023125438538902517,9.304029268036158e-7,1.8500350831122013e-6,ADAM_5e-5
77,test_1/,0.00021896517614139336,0.00158637926789465,8.758607045655734e-7,1.2691034143157198e-6,ADAM_5e-5
78,test_1/,0.00020953924262239257,0.001194756499612055,8.381569704895703e-7,9.55805199689644e-7,ADAM_5e-5
79,test_1/,0.00020508551289003993,0.0011841002742928395,8.203420515601597e-7,9.472802194342716e-7,ADAM_5e-5
80,test_1/,0.00020535802177633277,0.0015221239112537296,8.214320871053311e-7,1.2176991290029836e-6,ADAM_5e-5
81,test_1/,0.0002090988215911886,0.0020975189024522076,8.363952863647544e-7,1.678015121961766e-6,ADAM_5e-5
82,test_1/,0.00021449086807858296,0.0027570379645565583,8.579634723143318e-7,2.2056303716452467e-6,ADAM_5e-5
83,test_1/,0.00021980610987490655,0.003358384138706384,8.792244394996261e-7,2.6867073109651073e-6,ADAM_5e-5
84,test_1/,0.00022390719535794003,0.0038106151302269046,8.956287814317601e-7,3.0484921041815237e-6,ADAM_5e-5
85,test_1/,0.00022638760411460165,0.00408447955028167,9.055504164584066e-7,3.2675836402253364e-6,ADAM_5e-5
86,test_1/,0.00022736555766297284,0.004194270178657964,9.094622306518913e-7,3.3554161429263716e-6,ADAM_5e-5
87,test_1/,0.00022713065026557677,0.004167995726419143,9.085226010623071e-7,3.334396581135314e-6,ADAM_5e-5
88,test_1/,0.00022588175408755397,0.004025741273180703,9.035270163502159e-7,3.2205930185445626e-6,ADAM_5e-5
89,test_1/,0.0002236835358286533,0.0037765420341836485,8.947341433146131e-7,3.021233627346919e-6,ADAM_5e-5
90,test_1/,0.00022060466547664268,0.003430366547346325,8.824186619065707e-7,2.7442932378770603e-6,ADAM_5e-5
91,test_1/,0.00021688601815698138,0.0030122878339096395,8.675440726279255e-7,2.4098302671277114e-6,ADAM_5e-5
92,test_1/,0.00021299438657601473,0.0025667406323711985,8.519775463040589e-7,2.0533925058969587e-6,ADAM_5e-5
93,test_1/,0.00020950876461677602,0.002147479176347502,8.380350584671042e-7,1.7179833410780017e-6,ADAM_5e-5
94,test_1/,0.00020691437798507024,0.0017998134241180835,8.27657511940281e-7,1.4398507392944669e-6,ADAM_5e-5
95,test_1/,0.0002054285813549437,0.0015456800830593346,8.217143254197748e-7,1.236544066447468e-6,ADAM_5e-5
96,test_1/,0.0002049599704695344,0.0013802644620451293,8.198398818781376e-7,1.1042115696361034e-6,ADAM_5e-5
97,test_1/,0.00020520799373562553,0.0012807245379715276,8.208319749425021e-7,1.024579630377222e-6,ADAM_5e-5
98,test_1/,0.00020582895985505915,0.0012206379252808082,8.233158394202366e-7,9.765103402246466e-7,ADAM_5e-5
99,test_1/,0.00020656783925505177,0.0011814291834223159,8.26271357020207e-7,9.451433467378527e-7,ADAM_5e-5
100,test_1/,0.00020729443671636263,0.0011554605811972501,8.291777468654504e-7,9.243684649578001e-7,ADAM_5e-5
101,test_1/,0.0002079542739921763,0.0011416146230336514,8.318170959687052e-7,9.132916984269211e-7,ADAM_5e-5
102,test_1/,0.0002084949941325145,0.0011385675801395619,8.339799765300579e-7,9.108540641116495e-7,ADAM_5e-5
103,test_1/,0.00020883055278167936,0.0011411859264079671,8.353222111267175e-7,9.129487411263739e-7,ADAM_5e-5
104,test_1/,0.00020886580625758758,0.0011421082417636254,8.354632250303503e-7,9.136865934109003e-7,ADAM_5e-5
105,test_1/,0.00020855475410084384,0.0011364065894109874,8.342190164033753e-7,9.0912527152879e-7,ADAM_5e-5
106,test_1/,0.00020794333046304417,0.00112524889512533,8.317733218521768e-7,9.001991161002639e-7,ADAM_5e-5
107,test_1/,0.00020716293415007359,0.0011156769182972585,8.286517366002942e-7,8.925415346378067e-7,ADAM_5e-5
108,test_1/,0.0002063776394029845,0.0011166855168375455,8.255105576119379e-7,8.933484134700364e-7,ADAM_5e-5
109,test_1/,0.00020571948905688132,0.001134349029521679,8.228779562275253e-7,9.074792236173431e-7,ADAM_5e-5
110,test_1/,0.00020524955100757956,0.0011691009176454956,8.209982040303182e-7,9.352807341163967e-7,ADAM_5e-5
