epochs,test_name,train_loss,test_loss,train_metric,test_metric,pen,conf
20,test_1/,0.0005613265462538444,0.0006069592923209448,8.240664861561221e-7,9.6868587329043e-7,l2,g1_1__g2_0.05
21,test_1/,0.0005613262931313077,0.0006065819501462288,8.240972579488629e-7,9.68027262751679e-7,l2,g1_1__g2_0.05
22,test_1/,0.0005613262602692927,0.0006065447925303592,8.241004039363224e-7,9.679633407959146e-7,l2,g1_1__g2_0.05
23,test_1/,0.0005613262269111345,0.0006065075688699368,8.241035645159864e-7,9.678994243360858e-7,l2,g1_1__g2_0.05
24,test_1/,0.0005613262269111345,0.0006065075688699368,8.241035645159864e-7,9.678994243360858e-7,l2,g1_1__g2_0.05
1,test_1/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812,l2,g1_1__g2_0.5
2,test_1/,0.0030261770557824972,0.011418541273575878,3.466293966777657e-5,0.00045853461520824277,l2,g1_1__g2_0.5
3,test_1/,0.0023558343612877144,0.00868242578482529,2.52122743011928e-5,0.0003565783737790402,l2,g1_1__g2_0.5
4,test_1/,0.0023333298130574862,0.008614037999754619,2.001482170882503e-5,0.0002827401594788859,l2,g1_1__g2_0.5
5,test_1/,0.0005859596985147368,0.0009100979014184887,8.416006374143114e-7,1.672941464868195e-6,l2,g1_1__g2_0.5
6,test_1/,0.0005702562169686669,0.0006229163138019503,8.211248103921851e-7,9.481910281853767e-7,l2,g1_1__g2_0.5
7,test_1/,0.000569747329873832,0.0006123353343593049,8.211924823086182e-7,9.262807445950243e-7,l2,g1_1__g2_0.5
8,test_1/,0.0005693730952335925,0.0006142908233851027,8.235348433663409e-7,9.605988603517675e-7,l2,g1_1__g2_0.5
9,test_1/,0.000569343407277046,0.0006151779155067296,8.241717007313722e-7,9.70499768550758e-7,l2,g1_1__g2_0.5
10,test_1/,0.0005693282371727007,0.0006148382531510555,8.239621057573112e-7,9.671252790889905e-7,l2,g1_1__g2_0.5
11,test_1/,0.0005693219115630207,0.0006148530968113935,8.240295396202061e-7,9.679764193209317e-7,l2,g1_1__g2_0.5
12,test_1/,0.000569319171309194,0.0006148590043465752,8.240589384915066e-7,9.683467070297326e-7,l2,g1_1__g2_0.5
13,test_1/,0.0005693179459465642,0.0006148618968696217,8.240721138596013e-7,9.685132370492153e-7,l2,g1_1__g2_0.5
14,test_1/,0.000569317775411162,0.0006148623158623854,8.240739604490372e-7,9.685366210261935e-7,l2,g1_1__g2_0.5
15,test_1/,0.000569317775411162,0.0006148623158623854,8.240739604490372e-7,9.685366210261935e-7,l2,g1_1__g2_0.5
1,test_1/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812,l1,g1_1__g2_0.5
2,test_1/,0.017535318906961153,0.03658533359445151,0.0002592789726212407,0.0014936254945227651,l1,g1_1__g2_0.5
3,test_1/,0.015925682698071108,0.03245823457190969,7.811999082913218e-5,0.0008747134763683618,l1,g1_1__g2_0.5
4,test_1/,0.015900795565966908,0.03216545477890921,7.366014319445293e-5,0.000848672515381965,l1,g1_1__g2_0.5
5,test_1/,0.015884918582588246,0.03161524443497854,6.556674987193683e-5,0.0007847331411825929,l1,g1_1__g2_0.5
6,test_1/,0.015783149088722047,0.026981888016464273,2.7205522559915266e-5,0.0003872885979384937,l1,g1_1__g2_0.5
7,test_1/,0.015777205874651715,0.02622908659827542,2.3432242384828187e-5,0.00033876963364146487,l1,g1_1__g2_0.5
8,test_1/,0.015726505647716847,0.024756182068486947,1.703430597911735e-5,0.00025116851312690047,l1,g1_1__g2_0.5
9,test_1/,0.015628509611284463,0.021119976187814853,6.3219363670081255e-6,9.279814087652284e-5,l1,g1_1__g2_0.5
10,test_1/,0.01561909724623689,0.02024074232403785,4.642606892823238e-6,6.628975937570417e-5,l1,g1_1__g2_0.5
11,test_1/,0.015613202690499312,0.019691339946254553,3.754079037162573e-6,5.2019761986348535e-5,l1,g1_1__g2_0.5
12,test_1/,0.015610131920467238,0.019193612155579062,3.0528582918318436e-6,4.0575721028781545e-5,l1,g1_1__g2_0.5
13,test_1/,0.015608929483864865,0.019188017109702492,3.0462430856335896e-6,4.0492677857692033e-5,l1,g1_1__g2_0.5
14,test_1/,0.015608182719044213,0.019237318982643945,3.1221673267954823e-6,4.1812482293594044e-5,l1,g1_1__g2_0.5
15,test_1/,0.015608041080948223,0.019254205493587834,3.141651017625865e-6,4.2125710940870655e-5,l1,g1_1__g2_0.5
